object,confidence,x_min,y_min,x_max,y_max
person,0.8531054258346558,860.0802612304688,791.9558715820312,987.7109985351562,1214.1248779296875
person,0.8445061445236206,598.904296875,815.7266235351562,725.3245239257812,1218.8607177734375
person,0.8372365832328796,1355.066162109375,792.702392578125,1511.2093505859375,1217.5693359375
person,0.8358001708984375,485.3811950683594,825.9228515625,583.4473266601562,1215.2523193359375
person,0.8356738686561584,726.925048828125,794.8174438476562,872.7333984375,1216.496337890625
person,0.833189845085144,982.6688232421875,773.1318969726562,1106.643310546875,1211.718505859375
person,0.8269373774528503,381.19744873046875,806.7866821289062,493.6152648925781,1219.228759765625
person,0.8183925747871399,1236.971923828125,770.8947143554688,1368.4365234375,1216.0452880859375
person,0.8074601292610168,1120.9808349609375,807.1349487304688,1234.423828125,1217.3314208984375
potted plant,0.8030697703361511,258.0110778808594,876.0908813476562,385.33978271484375,1072.3336181640625
potted plant,0.6940114498138428,1570.9892578125,757.0840454101562,1779.93017578125,1194.25634765625
potted plant,0.5030316114425659,1487.8070068359375,942.4190063476562,1604.6630859375,1046.9365234375
potted plant,0.4863269031047821,1808.04248046875,1051.1605224609375,1916.970458984375,1159.689453125
potted plant,0.40884920954704285,1808.2554931640625,1050.897705078125,1881.8433837890625,1159.8509521484375
person,0.36102384328842163,587.8319702148438,806.0592041015625,658.695068359375,1166.39404296875
potted plant,0.3430834412574768,1885.7257080078125,1086.97412109375,1919.3511962890625,1181.9520263671875
handbag,0.33326002955436707,163.101806640625,1070.7415771484375,259.8821105957031,1200.7130126953125
person,0.3282557427883148,538.137939453125,801.779296875,600.9971313476562,1121.6044921875
potted plant,0.3220633864402771,194.12869262695312,872.0155029296875,268.02667236328125,1075.52587890625
person,0.30963417887687683,1076.6383056640625,750.1023559570312,1160.2955322265625,1130.2618408203125
tie,0.28594163060188293,912.0377197265625,866.42578125,939.615234375,968.3858642578125
person,0.2666686773300171,1186.085205078125,770.7669067382812,1264.4664306640625,1053.5655517578125
potted plant,0.26213911175727844,1854.5562744140625,1066.73291015625,1919.3756103515625,1181.518310546875
